system:time_start,Evap_tavg
"Jan 1, 2000",1.503
"Feb 1, 2000",0.786
"Mar 1, 2000",0.776
"Apr 1, 2000",1.521
"May 1, 2000",1.559
"Jun 1, 2000",1.041
"Jul 1, 2000",0.711
"Aug 1, 2000",0.715
"Sep 1, 2000",0.723
"Oct 1, 2000",0.824
"Nov 1, 2000",1.249
"Dec 1, 2000",1.781
"Jan 1, 2001",1.463
"Feb 1, 2001",1.158
"Mar 1, 2001",1.211
"Apr 1, 2001",2.398
"May 1, 2001",2.066
"Jun 1, 2001",1.482
"Jul 1, 2001",0.952
"Aug 1, 2001",0.934
"Sep 1, 2001",0.78
"Oct 1, 2001",0.674
"Nov 1, 2001",1.881
"Dec 1, 2001",1.728
"Jan 1, 2002",1.371
"Feb 1, 2002",0.9
"Mar 1, 2002",1.53
"Apr 1, 2002",2.221
"May 1, 2002",2.457
"Jun 1, 2002",1.404
"Jul 1, 2002",0.878
"Aug 1, 2002",0.803
"Sep 1, 2002",0.835
"Oct 1, 2002",1.232
"Nov 1, 2002",1.761
"Dec 1, 2002",2.237
"Jan 1, 2003",1.889
"Feb 1, 2003",1.099
"Mar 1, 2003",1.017
"Apr 1, 2003",2.267
"May 1, 2003",2.598
"Jun 1, 2003",1.773
"Jul 1, 2003",1.048
"Aug 1, 2003",0.905
"Sep 1, 2003",0.862
"Oct 1, 2003",0.963
"Nov 1, 2003",1.632
"Dec 1, 2003",2.097
"Jan 1, 2004",1.533
"Feb 1, 2004",1.229
"Mar 1, 2004",1.076
"Apr 1, 2004",2.687
"May 1, 2004",1.933
"Jun 1, 2004",1.191
"Jul 1, 2004",0.704
"Aug 1, 2004",0.669
"Sep 1, 2004",0.54
"Oct 1, 2004",1.074
"Nov 1, 2004",1.718
"Dec 1, 2004",2.034
"Jan 1, 2005",1.219
"Feb 1, 2005",0.932
"Mar 1, 2005",1.11
"Apr 1, 2005",1.718
"May 1, 2005",2.326
"Jun 1, 2005",1.348
"Jul 1, 2005",1.073
"Aug 1, 2005",0.748
"Sep 1, 2005",0.707
"Oct 1, 2005",0.645
"Nov 1, 2005",1.131
"Dec 1, 2005",1.07
"Jan 1, 2006",0.634
"Feb 1, 2006",0.531
"Mar 1, 2006",1.327
"Apr 1, 2006",2.54
"May 1, 2006",2.086
"Jun 1, 2006",1.371
"Jul 1, 2006",0.801
"Aug 1, 2006",1.161
"Sep 1, 2006",0.827
"Oct 1, 2006",1.304
"Nov 1, 2006",2.234
"Dec 1, 2006",2.655
"Jan 1, 2007",2.098
"Feb 1, 2007",1.502
"Mar 1, 2007",1.639
"Apr 1, 2007",2.136
"May 1, 2007",2.383
"Jun 1, 2007",1.832
"Jul 1, 2007",1.069
"Aug 1, 2007",1.225
"Sep 1, 2007",1.287
"Oct 1, 2007",1.427
"Nov 1, 2007",1.825
"Dec 1, 2007",1.751
"Jan 1, 2008",1.343
"Feb 1, 2008",1.049
"Mar 1, 2008",1.236
"Apr 1, 2008",2.463
"May 1, 2008",1.805
"Jun 1, 2008",1.322
"Jul 1, 2008",0.776
"Aug 1, 2008",0.641
"Sep 1, 2008",0.64
"Oct 1, 2008",1.184
"Nov 1, 2008",1.852
"Dec 1, 2008",1.201
"Jan 1, 2009",0.988
"Feb 1, 2009",0.893
"Mar 1, 2009",0.625
"Apr 1, 2009",1.883
"May 1, 2009",1.527
"Jun 1, 2009",0.975
"Jul 1, 2009",0.618
"Aug 1, 2009",0.369
"Sep 1, 2009",0.378
"Oct 1, 2009",1.17
"Nov 1, 2009",1.376
"Dec 1, 2009",2.012
"Jan 1, 2010",1.673
"Feb 1, 2010",1.089
"Mar 1, 2010",2.163
"Apr 1, 2010",2.692
"May 1, 2010",2.171
"Jun 1, 2010",1.363
"Jul 1, 2010",0.886
"Aug 1, 2010",0.755
"Sep 1, 2010",0.758
"Oct 1, 2010",0.771
"Nov 1, 2010",1.39
"Dec 1, 2010",1.271
"Jan 1, 2011",0.795
"Feb 1, 2011",0.746
"Mar 1, 2011",0.881
"Apr 1, 2011",1.412
"May 1, 2011",1.503
"Jun 1, 2011",0.875
"Jul 1, 2011",0.679
"Aug 1, 2011",0.779
"Sep 1, 2011",1.017
"Oct 1, 2011",1.52
"Nov 1, 2011",2.752
"Dec 1, 2011",2.633
"Jan 1, 2012",1.338
"Feb 1, 2012",0.738
"Mar 1, 2012",0.965
"Apr 1, 2012",2.253
"May 1, 2012",2.531
"Jun 1, 2012",1.3
"Jul 1, 2012",0.905
"Aug 1, 2012",0.933
"Sep 1, 2012",0.863
"Oct 1, 2012",1.145
"Nov 1, 2012",1.91
"Dec 1, 2012",2.197
"Jan 1, 2013",1.654
"Feb 1, 2013",0.972
"Mar 1, 2013",1.411
"Apr 1, 2013",3.259
"May 1, 2013",2.374
"Jun 1, 2013",1.157
"Jul 1, 2013",0.915
"Aug 1, 2013",0.894
"Sep 1, 2013",0.742
"Oct 1, 2013",0.754
"Nov 1, 2013",1.737
"Dec 1, 2013",1.722
"Jan 1, 2014",0.973
"Feb 1, 2014",0.906
"Mar 1, 2014",1.357
"Apr 1, 2014",2.151
"May 1, 2014",1.761
"Jun 1, 2014",1.106
"Jul 1, 2014",0.733
"Aug 1, 2014",0.768
"Sep 1, 2014",0.8
"Oct 1, 2014",1.005
"Nov 1, 2014",1.679
"Dec 1, 2014",1.666
"Jan 1, 2015",0.805
"Feb 1, 2015",0.573
"Mar 1, 2015",0.701
"Apr 1, 2015",2.398
"May 1, 2015",2.322
"Jun 1, 2015",1.21
"Jul 1, 2015",0.775
"Aug 1, 2015",0.63
"Sep 1, 2015",0.464
"Oct 1, 2015",0.926
"Nov 1, 2015",3.014
"Dec 1, 2015",3.21
"Jan 1, 2016",2.231
"Feb 1, 2016",1.703
"Mar 1, 2016",2.293
"Apr 1, 2016",3.265
"May 1, 2016",2.903
"Jun 1, 2016",1.585
"Jul 1, 2016",1.184
"Aug 1, 2016",1
"Sep 1, 2016",0.87
"Oct 1, 2016",1.068
"Nov 1, 2016",2.372
"Dec 1, 2016",2.597
"Jan 1, 2017",1.573
"Feb 1, 2017",1.658
"Mar 1, 2017",1.815
"Apr 1, 2017",2.677
"May 1, 2017",2.594
"Jun 1, 2017",1.439
"Jul 1, 2017",1.073
"Aug 1, 2017",0.879
"Sep 1, 2017",0.906
"Oct 1, 2017",1.581
"Nov 1, 2017",2.685
"Dec 1, 2017",1.958
"Jan 1, 2018",1.23
"Feb 1, 2018",0.87
"Mar 1, 2018",2.707
"Apr 1, 2018",3.503
"May 1, 2018",3.003
"Jun 1, 2018",1.809
"Jul 1, 2018",1.016
"Aug 1, 2018",0.809
"Sep 1, 2018",0.815
"Oct 1, 2018",1.231
"Nov 1, 2018",2.514
"Dec 1, 2018",2.894
"Jan 1, 2019",1.975
"Feb 1, 2019",1.299
"Mar 1, 2019",1.363
"Apr 1, 2019",2.396
"May 1, 2019",3.205
"Jun 1, 2019",1.867
"Jul 1, 2019",1.294
"Aug 1, 2019",1.079
"Sep 1, 2019",1.101
"Oct 1, 2019",2.545
"Nov 1, 2019",3.09
"Dec 1, 2019",3.249
"Jan 1, 2020",2.565
"Feb 1, 2020",1.957
"Mar 1, 2020",2.469
"Apr 1, 2020",3.337
"May 1, 2020",2.969
"Jun 1, 2020",1.866
"Jul 1, 2020",1.337
"Aug 1, 2020",1.086
"Sep 1, 2020",0.956
"Oct 1, 2020",1.102
"Nov 1, 2020",2.119
"Dec 1, 2020",2.09
"Jan 1, 2021",1.473
"Feb 1, 2021",0.928
"Mar 1, 2021",1.009
"Apr 1, 2021",2.146
"May 1, 2021",2.075
"Jun 1, 2021",0.967
"Jul 1, 2021",0.735
"Aug 1, 2021",0.623
"Sep 1, 2021",0.565
"Oct 1, 2021",0.587
"Nov 1, 2021",0.868
"Dec 1, 2021",1.869
"Jan 1, 2022",1.446
"Feb 1, 2022",0.892
"Mar 1, 2022",0.864
"Apr 1, 2022",1.738
"May 1, 2022",1.71
"Jun 1, 2022",0.967
"Jul 1, 2022",0.773
"Aug 1, 2022",0.728
"Sep 1, 2022",0.692
"Oct 1, 2022",0.572
"Nov 1, 2022",1.383
"Dec 1, 2022",1.524
"Jan 1, 2023",0.858
"Feb 1, 2023",0.374
"Mar 1, 2023",1.281
"Apr 1, 2023",2.809
"May 1, 2023",2.488
"Jun 1, 2023",1.263
"Jul 1, 2023",0.741
"Aug 1, 2023",0.881
"Sep 1, 2023",0.724
"Oct 1, 2023",1.475
"Nov 1, 2023",3.331
"Dec 1, 2023",2.415
"Jan 1, 2024",2.053
"Feb 1, 2024",1.521
"Mar 1, 2024",1.687
"Apr 1, 2024",3.363
"May 1, 2024",3.092
"Jun 1, 2024",1.574
"Jul 1, 2024",1.208
"Aug 1, 2024",1.177
"Sep 1, 2024",0.863
